date,iso3,country,confirmed
2020-01-24,AFG,Afghanistan,0
2020-01-25,AFG,Afghanistan,0
2020-01-26,AFG,Afghanistan,0
2020-01-27,AFG,Afghanistan,0
2020-01-28,AFG,Afghanistan,0
2020-01-29,AFG,Afghanistan,0
2020-01-30,AFG,Afghanistan,0
2020-01-31,AFG,Afghanistan,0
2020-02-01,AFG,Afghanistan,0
2020-02-02,AFG,Afghanistan,0
2020-02-03,AFG,Afghanistan,0
2020-02-04,AFG,Afghanistan,0
2020-02-05,AFG,Afghanistan,0
2020-02-06,AFG,Afghanistan,0
2020-02-07,AFG,Afghanistan,0
2020-02-08,AFG,Afghanistan,0
2020-02-09,AFG,Afghanistan,0
2020-02-10,AFG,Afghanistan,0
2020-02-11,AFG,Afghanistan,0
2020-02-12,AFG,Afghanistan,0
2020-02-13,AFG,Afghanistan,0
2020-02-14,AFG,Afghanistan,0
2020-02-15,AFG,Afghanistan,0
2020-02-16,AFG,Afghanistan,0
2020-02-17,AFG,Afghanistan,0
2020-02-18,AFG,Afghanistan,0
2020-02-19,AFG,Afghanistan,0
2020-02-20,AFG,Afghanistan,0
2020-02-21,AFG,Afghanistan,0
2020-02-22,AFG,Afghanistan,0
2020-02-23,AFG,Afghanistan,0
2020-02-24,AFG,Afghanistan,1
2020-02-25,AFG,Afghanistan,1
2020-02-26,AFG,Afghanistan,1
2020-02-27,AFG,Afghanistan,1
2020-02-28,AFG,Afghanistan,1
2020-02-29,AFG,Afghanistan,1
2020-03-01,AFG,Afghanistan,1
2020-03-02,AFG,Afghanistan,1
2020-03-03,AFG,Afghanistan,1
2020-03-04,AFG,Afghanistan,1
2020-03-05,AFG,Afghanistan,1
2020-03-06,AFG,Afghanistan,1
2020-03-07,AFG,Afghanistan,1
2020-03-08,AFG,Afghanistan,4
2020-03-09,AFG,Afghanistan,4
2020-03-10,AFG,Afghanistan,5
2020-03-11,AFG,Afghanistan,7
2020-03-12,AFG,Afghanistan,7
2020-03-13,AFG,Afghanistan,7
2020-03-14,AFG,Afghanistan,11
2020-03-15,AFG,Afghanistan,16
2020-03-16,AFG,Afghanistan,21
2020-03-17,AFG,Afghanistan,22
2020-03-18,AFG,Afghanistan,22
2020-03-19,AFG,Afghanistan,22
2020-03-20,AFG,Afghanistan,24
2020-03-21,AFG,Afghanistan,24
2020-03-22,AFG,Afghanistan,40
2020-03-23,AFG,Afghanistan,40
2020-03-24,AFG,Afghanistan,74
2020-03-25,AFG,Afghanistan,84
2020-03-26,AFG,Afghanistan,94
2020-03-27,AFG,Afghanistan,110
2020-03-28,AFG,Afghanistan,110
2020-03-29,AFG,Afghanistan,120
2020-03-30,AFG,Afghanistan,170
2020-03-31,AFG,Afghanistan,174
2020-04-01,AFG,Afghanistan,237
2020-04-02,AFG,Afghanistan,273
2020-04-03,AFG,Afghanistan,281
2020-04-04,AFG,Afghanistan,299
2020-04-05,AFG,Afghanistan,349
2020-04-06,AFG,Afghanistan,367
2020-04-07,AFG,Afghanistan,423
2020-04-08,AFG,Afghanistan,444
2020-04-09,AFG,Afghanistan,484
2020-04-10,AFG,Afghanistan,521
2020-04-11,AFG,Afghanistan,555
2020-04-12,AFG,Afghanistan,607
2020-04-13,AFG,Afghanistan,665
2020-04-14,AFG,Afghanistan,714
2020-04-15,AFG,Afghanistan,784
2020-04-16,AFG,Afghanistan,840
2020-04-17,AFG,Afghanistan,906
2020-04-18,AFG,Afghanistan,933
2020-04-19,AFG,Afghanistan,996
2020-04-20,AFG,Afghanistan,1026
2020-04-21,AFG,Afghanistan,1092
2020-04-22,AFG,Afghanistan,1176
2020-04-23,AFG,Afghanistan,1279
2020-04-24,AFG,Afghanistan,1351
2020-04-25,AFG,Afghanistan,1463
2020-04-26,AFG,Afghanistan,1531
2020-04-27,AFG,Afghanistan,1703
2020-04-28,AFG,Afghanistan,1828
2020-04-29,AFG,Afghanistan,1939
2020-04-30,AFG,Afghanistan,2171
2020-05-01,AFG,Afghanistan,2335
2020-05-02,AFG,Afghanistan,2469
2020-01-24,ALB,Albania,0
2020-01-25,ALB,Albania,0
2020-01-26,ALB,Albania,0
2020-01-27,ALB,Albania,0
2020-01-28,ALB,Albania,0
2020-01-29,ALB,Albania,0
2020-01-30,ALB,Albania,0
2020-01-31,ALB,Albania,0
2020-02-01,ALB,Albania,0
2020-02-02,ALB,Albania,0
2020-02-03,ALB,Albania,0
2020-02-04,ALB,Albania,0
2020-02-05,ALB,Albania,0
2020-02-06,ALB,Albania,0
2020-02-07,ALB,Albania,0
2020-02-08,ALB,Albania,0
2020-02-09,ALB,Albania,0
2020-02-10,ALB,Albania,0
2020-02-11,ALB,Albania,0
2020-02-12,ALB,Albania,0
2020-02-13,ALB,Albania,0
2020-02-14,ALB,Albania,0
2020-02-15,ALB,Albania,0
2020-02-16,ALB,Albania,0
2020-02-17,ALB,Albania,0
2020-02-18,ALB,Albania,0
2020-02-19,ALB,Albania,0
2020-02-20,ALB,Albania,0
2020-02-21,ALB,Albania,0
2020-02-22,ALB,Albania,0
2020-02-23,ALB,Albania,0
2020-02-24,ALB,Albania,0
2020-02-25,ALB,Albania,0
