iso3,Субъект,Рейтинг качества жизни,Объем депозитов,Соотношение депозитов и доходов,Прирост вкладов,Доля валютных депозитов,Прирост населения за три года,Численность населения,Естественный прирост населения за три года,Миграционный прирост населения за три года,Доля просроченных кредитов,Изменение просроченных кредитов,Ссудная задолженность,Прирост задолженности,Доля с возможностей купить жилье в ипотеку 2019,Доля с возможностей купить жилье в ипотеку 2018,Отношение долга по кредитам к зп,Долг на человека(в тыс руб),Изменение долга(в тыс руб),Доля зп более 100тыс,Доля зп менее 15тыс,Медианная зп,Привлекательность труда для пенсионеров,Отношение зп в малых нас пунктах на стоимость базовых товаров,Средняя зп в малых нас пунктах,Прирост зп в малых нас пунктах,Отношение зп в малых нас пунктах к зп по региону,Число новых рабочих мест за три года,Число новых рабочих мест за 10 лет,Изменение числа новых рабочих мест за три года,Изменение числа новых рабочих мест за 10 лет,Отсутствие вредных привычек,Кол-во ДТП на 100тыс авто,Изменение кол-ва ДТП,Число пострадавших в дтп,Число погибших на 1000 пострадавших
RU-MOW,г Москва,79.275,822.0,11.87,23.5,36.8,2.4,12678.1,41.6,257.3,4.16,-1.0,272.0,22.7,32.1,29.4,28.9,272.9,52.2,27.4,1.5,66.1,79.9,,,,,89.4,998.3,1.3,16.1,65.6,210.0,1.5,89.0,40.0
RU-SPE,г Санкт-Петербург,77.308,420.6,9.41,29.2,26.0,2.2,5398.1,10.1,106.8,2.84,-0.7,310.0,23.8,37.9,35.2,46.7,302.7,58.9,12.5,2.6,49.3,77.1,,,,,53.4,293.3,1.8,10.7,57.7,333.0,2.6,151.0,28.0
RU-MOS,Московская обл,74.5,217.5,4.78,37.7,12.0,3.6,7690.9,-30.2,298.7,4.09,-0.5,338.0,23.3,36.5,35.8,58.9,332.7,66.0,8.2,6.6,41.9,64.8,3.25,49.8,6.0,0.93,200.5,355.5,5.2,9.6,68.3,185.0,-1.4,102.0,109.0
RU-TA,Респ Татарстан,66.806,156.0,4.53,18.3,15.6,0.5,3902.9,5.9,11.7,3.23,-0.7,230.0,19.9,24.4,24.5,58.1,223.4,38.4,2.7,12.2,29.5,60.1,2.75,33.0,8.3,0.9,-16.1,141.6,-0.8,7.8,79.9,339.0,-1.9,154.0,62.0
RU-BEL,Белгородская обл,63.978,148.4,4.8,21.4,15.8,-0.2,1549.2,-19.8,16.1,4.11,-1.2,176.0,17.3,27.3,26.0,49.4,172.4,27.1,1.6,13.9,26.3,61.6,2.4,29.4,8.1,0.92,3.6,38.8,0.5,5.1,73.7,222.0,3.6,118.0,84.0
RU-KDA,Краснодарский край,63.067,144.0,4.3,29.3,13.2,1.9,5675.5,-16.7,120.6,5.13,-1.1,213.0,21.1,22.0,20.9,55.5,205.2,35.5,2.5,15.3,27.9,50.9,2.05,29.3,7.2,0.83,85.8,216.8,3.3,8.9,77.1,357.0,5.0,185.0,90.0
RU-VOR,Воронежская обл,61.981,155.0,5.06,25.3,11.3,-0.5,2324.2,-37.9,26.6,4.12,-0.9,187.0,19.1,28.6,28.6,53.3,182.4,31.0,2.4,16.6,26.1,59.5,2.21,28.9,7.1,0.87,25.2,70.8,2.3,6.6,61.8,318.0,3.5,187.0,95.0
RU-LEN,Ленинградская обл,60.695,91.9,2.97,25.7,6.0,4.7,1875.9,-28.4,112.6,3.3,-0.6,285.0,22.2,45.4,42.1,59.5,279.2,53.7,5.8,6.9,38.1,68.9,3.21,46.1,7.1,1.0,7.7,35.4,0.8,4.0,65.7,407.0,-2.2,232.0,90.0
RU-KGD,Калининградская обл,59.247,183.8,6.55,26.3,18.6,2.7,1012.5,-6.0,32.1,4.2,-0.9,221.0,20.4,28.0,27.0,62.7,221.4,38.6,2.9,12.6,29.2,50.9,2.21,31.6,2.0,0.86,19.0,58.3,3.9,12.8,65.6,246.0,-6.8,145.0,74.0
RU-KHM,Ханты-Мансийский Автономный округ - Югра,58.813,,,,,1.7,1674.7,35.8,-7.3,2.6,-0.6,445.0,10.7,57.2,55.9,58.0,445.3,53.0,17.2,0.7,58.0,34.4,4.2,69.0,5.2,0.98,15.5,51.9,1.8,6.2,61.8,212.0,-2.3,150.0,66.0
RU-LIP,Липецкая обл,58.466,127.5,4.11,27.9,7.1,-1.5,1139.4,-17.5,0.8,4.19,-0.9,176.0,19.5,34.2,31.5,48.4,172.2,28.7,2.2,16.1,26.5,49.8,2.37,28.4,7.8,0.85,0.4,-11.6,0.1,-2.0,73.7,328.0,4.1,194.0,80.0
RU-YAN,Ямало-Ненецкий АО,58.181,,,,,1.6,544.4,13.9,-5.5,2.29,-0.7,487.0,15.2,70.9,68.2,46.0,477.6,64.0,31.7,0.7,75.5,33.4,5.26,89.5,3.3,0.97,-3.6,7.0,-1.2,2.3,44.1,183.0,-9.2,109.0,59.0
RU-SVE,Свердловская обл,57.141,171.8,4.62,24.3,11.9,-0.4,4310.7,-23.5,4.7,3.96,-0.9,260.0,16.2,28.5,27.8,61.3,255.2,36.8,3.7,11.0,31.4,48.4,2.66,35.3,12.0,0.89,-60.7,-103.6,-2.9,-4.9,63.8,150.0,7.2,101.0,92.0
RU-TYU,Тюменская обл,57.022,218.4,4.6,22.4,23.7,4.0,1537.4,12.9,46.9,4.06,-1.1,357.0,20.3,40.4,38.9,68.2,337.0,51.6,7.3,8.2,37.4,50.9,4.81,73.0,5.4,1.04,20.1,74.3,3.0,11.9,57.0,455.0,0.0,265.0,44.0
RU-NIZ,Нижегородская обл,55.519,168.3,5.23,28.6,11.9,-1.4,3202.9,-47.8,3.9,3.74,-0.6,186.0,14.8,26.4,25.9,50.3,182.4,24.8,3.2,14.0,29.4,55.3,2.33,31.3,9.1,0.84,-15.9,3.7,-0.9,0.2,76.2,411.0,1.6,236.0,46.0
RU-SAM,Самарская обл,55.368,179.5,6.26,12.1,16.5,-0.8,3179.5,-31.5,7.6,4.89,-0.8,206.0,16.2,34.0,33.9,54.2,200.9,29.2,2.6,14.2,28.6,48.3,2.36,30.3,6.4,0.85,-71.3,-39.4,-4.2,-2.4,75.8,316.0,-6.7,164.0,57.0
UA-40,г Севастополь,55.355,68.8,2.26,66.0,4.4,4.8,449.1,-3.6,23.9,1.35,0.3,59.0,66.2,16.2,13.2,15.9,55.4,23.4,2.2,15.8,26.6,58.8,,,,,31.2,0.0,17.2,0.0,72.9,399.0,14.4,177.0,23.0
RU-TUL,Тульская обл,54.51,136.9,4.89,29.4,8.2,-2.2,1466.1,-35.1,1.9,4.38,-0.7,210.0,17.5,28.7,27.9,53.8,205.1,32.2,2.7,12.5,28.9,53.7,2.32,30.9,8.4,0.86,-7.0,1.7,-0.9,0.2,74.6,322.0,-3.6,213.0,88.0
RU-ROS,Ростовская обл,54.415,127.4,4.35,26.8,13.3,-0.8,4197.8,-46.5,12.8,4.97,-1.2,203.0,17.3,23.5,23.0,58.1,198.2,30.3,2.2,19.2,26.0,56.0,2.05,27.4,6.6,0.83,-56.3,-20.7,-2.7,-1.0,74.4,183.0,-21.9,102.0,103.0
RU-KRS,Курская обл,54.319,109.5,3.95,32.2,9.2,-1.7,1104.0,-20.7,2.0,4.0,-1.6,183.0,15.1,27.1,26.9,53.9,179.1,24.9,1.4,18.4,24.1,61.0,2.41,29.8,10.6,0.99,1.6,15.9,0.3,3.0,71.2,414.0,3.3,210.0,82.0
RU-KLU,Калужская обл,53.369,156.9,5.23,27.6,8.6,-1.2,1002.6,-14.5,3.2,3.66,-0.4,248.0,18.4,36.3,34.2,57.4,241.2,39.3,3.5,11.3,31.0,60.8,2.71,37.6,8.4,0.96,-3.8,-21.7,-0.7,-4.0,65.5,374.0,-6.2,200.0,81.0
