Москва - 5358
Московская область - 807
Санкт-Петербург - 323
Нижегородская область - 320
Мурманская область - 143
Республика Дагестан - 109
Рязанская область - 98
Республика Башкортостан - 92
Тульская область - 88
Республика Северная Осетия - 85
Свердловская область - 81
Ростовская область - 80
Краснодарский край - 79
Брянская область - 73
Курская область - 69
Республика Татарстан - 66
Ярославская область - 64
Владимирская область - 60
Калужская область - 59
Тамбовская область - 54
Красноярский край - 50
Чувашская Республика - 49
Саратовская область - 48
Тверская область - 46
Ленинградская область - 46
Волгоградская область - 46
Республика Ингушетия - 45
Кабардино-Балкарская Республика - 45
Смоленская область - 44
Калининградская область - 43
Ямало-Ненецкий АО - 43
Новосибирская область - 43
Самарская область - 41
Республика Мордовия - 37
Белгородская область - 36
Воронежская область - 36
Липецкая область - 35
Республика Саха (Якутия) - 34
Пензенская область - 33
Орловская область - 32
Кировская область - 32
Пермский край - 32
Ульяновская область - 32
Ивановская область - 31
Республика Марий Эл - 31
Челябинская область - 30
Хабаровский край - 29
Республика Бурятия - 28
Алтайский край - 28
Астраханская область - 27
Архангельская область - 25
Новгородская область - 25
Ставропольский край - 25
Приморский край - 25
Псковская область - 24
Республика Калмыкия - 23
Оренбургская область - 22
Чеченская Республика - 21
Забайкальский край - 21
Тюменская область - 16
Вологодская область - 15
Костромская область - 14
Карачаево-Черкесская Республика - 14
Кемеровская область - 14
Ханты-Мансийский АО - 9
Республика Хакасия - 9
Омская область - 9
Республика Крым - 8
Республика Карелия - 7
Республика Коми - 7
Удмуртская Республика - 7
Иркутская область - 7
Томская область - 5
Амурская область - 5
Камчатский край - 5
Курганская область - 4
Магаданская область - 4
Республика Адыгея - 3
Еврейская АО - 3
Чукотский АО - 3
Республика Алтай - 2
Республика Тыва - 1
г. Севастополь - 1
